node_id,pagerank,community
Karyn Kusama,1.0185927862018853,5034
Matt Ross,1.0182281652758864,1292
James DeMonaco,1.0178919167600797,3478
Jonathan Liebesman,1.017633368054797,5139
Niels Arden Oplev,1.0163942352823239,1280
Ben Affleck,1.016058328702606,4705
Josh Boone,1.0157050258359805,1696
Floria Sigismondi,1.0141370528630504,3163
David S. Goyer,1.01306713485707,4685
Alex Garland,1.0118529901855826,3395
Irwin Winkler,1.0115590413631776,3368
Jon Avnet,1.0105273773690422,1808
Andrew Dominik,1.0095811114541173,3163
Ilya Naishuller,1.008892358721854,3163
Tony Leondis,1.008274679228381,4705
Stuart Baird,1.0073642833736014,3212
Ari Aster,1.0070760102514902,1292
John Patrick Shanley,1.0065998569659471,1280
Aaron Sorkin,1.0048352152219044,4666
Shane Acker,1.0041002619328991,1280
"Anna Boden, Ryan Fleck",1.0037873371483672,3624
Sydney Pollack,1.0036276454508282,3368
Hans Petter Moland,1.0028434146351022,3624
William Eubank,1.0025994496129174,1220
Robert Benton,1.0022167702259024,1696
Nima Nourizadeh,1.002064416946745,5139
Len Wiseman,1.0009761059423277,1696
Danny Leiner,0.999709281883023,3212
Patty Jenkins,0.9992930689619723,3433
Rupert Wyatt,0.9965546767917904,1220
Anthony Minghella,0.9964534892649355,3395
Kevin Macdonald,0.9961717533509793,3395
Henry Selick,0.9936882254694203,2163
Andy Fickman,0.9934802113795369,1220
Kevin Lima,0.9933611817777822,3212
David Leitch,0.9922288143771407,1292
Gregory Hoblit,0.9858192782102057,1808
Roberto Benigni,0.9768158252072565,5034
Jocelyn Moorhouse,0.9717110461849163,3163
John Schultz,0.9612404689154856,2312
Joachim Trier,0.9612404689154856,2323
Sean Ellis,0.9612404689154856,2328
Aaron Seltzer,0.9612404689154856,2339
David Michôd,0.9612404689154856,2346
Kyle Patrick Alvarez,0.9612404689154856,2353
Sylvain Chomet,0.9612404689154856,2374
Stephen Chiodo,0.9612404689154856,2388
Dennie Gordon,0.9612404689154856,2389
Elise Durán,0.9612404689154856,2397
Francis Lee,0.9612404689154856,2399
John Gulager,0.9612404689154856,2409
Davis Guggenheim,0.9612404689154856,2410
Christian Carion,0.9612404689154856,2434
Michael Haigney,0.9612404689154856,2444
Brian Yuzna,0.9612404689154856,2454
Mamoru Oshii,0.9612404689154856,2460
Fatih Akin,0.9612404689154856,2462
Andrea Arnold,0.9612404689154856,2463
Jonathan Baker,0.9612404689154856,2469
Randal Kleiser,0.9612404689154856,2471
Sanaa Hamri,0.9612404689154856,2488
William Brent Bell,0.9612404689154856,2495
Gabriela Cowperthwaite,0.9612404689154856,2502
Stephen Kay,0.9612404689154856,2505
Randall Wallace,0.9612404689154856,2506
Ben Wheatley,0.9612404689154856,2512
Ingmar Bergman,0.9612404689154856,2518
Jonathan King,0.9612404689154856,2525
Susan Stroman,0.9612404689154856,2541
James Gartner,0.9612404689154856,2542
Ritesh Batra,0.9612404689154856,2544
John Boorman,0.9612404689154856,2556
Bryan Spicer,0.9612404689154856,2561
Matthew Robbins,0.9612404689154856,2571
Callie Khouri,0.9612404689154856,2573
Carles Torrens,0.9612404689154856,2582
Richard Greenberg,0.9612404689154856,2585
Denise Di Novi,0.9612404689154856,2594
Billy Wilder,0.9612404689154856,2608
Ken Marino,0.9612404689154856,2615
Bruce McDonald,0.9612404689154856,2629
Ryan Gosling,0.9612404689154856,2632
Simon Wincer,0.9612404689154856,2634
